hallmark,set_size,NES,pvalue,p.adjust,gene_set
OXIDATIVE_PHOSPHORYLATION,184,2.15601253236287,0.00196850393700787,0.00495000495000495,PDP1/HSD17B10/ATP6V1F/VDAC1/TIMM10/ATP6V1G1/TOMM22/MRPL15/FXN/MRPS12/POR/MRPS30/NDUFC2/NDUFA7/TIMM50/GRPEL1/LRPPRC/ATP6AP1/MRPL11/TIMM13/GOT2/MDH2/COX7A2L/LDHA/AIFM1/COX6B1/HSPA9/ATP1B1/GPI/BAX/POLR2F/HCCS/COX17/MRPS22/ATP6V1C1/SLC25A6/TIMM8B/UQCRH/MRPS15/NDUFS6/NDUFB6/SUCLA2/CYCS/OPA1/NDUFB4/DLAT/BCKDHA/UQCRQ/PDHX/MTX2/PMPCA/NDUFB2/NDUFB3/FDX1/TIMM9/LDHB/TIMM17A/NDUFA3/COX15/IDH3G/ATP6V0B/NDUFA4/NDUFA1/NDUFB5/COX7B/IDH1/PDHA1/ETFB/IDH2/GPX4/SLC25A5/SUPV3L1/SDHC/COX7A2/NDUFAB1/NDUFA2/COX4I1/ABCB7/NDUFA9/PRDX3/COX6A1/ATP6V1H/ATP6V0E1/GLUD1/VDAC3/ECHS1/IMMT/CYC1/MTRF1/PHB2/ALAS1/DECR1/COX11/UQCR10/COX5B/NDUFA8/NDUFS1/PDHB/UQCRC1/NDUFS3/ATP6V0C/COX8A/CS/DLD/MRPS11/COX6C/FH/NDUFC1/SDHB
G2M_CHECKPOINT,189,3.21374552025243,0.002,0.00495000495000495,RBL1/DKC1/PRIM2/TFDP1/CHEK1/SLC7A1/SLC12A2/KIF20B/FBXO5/CCND1/SMC2/E2F1/MCM3/CKS1B/MCM6/CCNF/DBF4/BRCA2/MCM2/SUV39H1/STMN1/CDK4/KPNA2/MAD2L1/TMPO/INCENP/DTYMK/RACGAP1/HMGA1/NCL/UBE2S/CDC6/CDKN3/SNRPD1/AURKA/TOP1/ORC5/CCNA2/TACC3/KIF15/KIF2C/TRAIP/SMC4/CENPE/TPX2/CKS2/E2F3/PTTG1/G3BP1/CHAF1A/MYBL2/NOLC1/PRC1/CUL4A/EXO1/ODC1/KIF4A/KIF11/PLK1/GINS2/SLC7A5/SMARCC1/BUB3/CDK1/CDC25A/UBE2C/PLK4/MCM5/TOP2A/SYNCRIP/SQLE/POLA2/ORC6/BUB1/NUSAP1/KIF23/HMGB3/CENPF/SMC1A/TTK/CENPA/BIRC5/CCNB2/HMMR/NDC80/RAD54L/HNRNPU/CDC45/NEK2/LMNB1/RAD23B/RPA2/CDC25B/KPNB1/BARD1/CDC20/HUS1/GSPT1/DDX39A/NUP50/CTCF/MKI67/RAD21/HSPA8/MYC/EZH2/PRMT5/STIL/UCK2/ESPL1/AMD1/XPO1/DR1
INTERFERON_GAMMA_RESPONSE,198,1.56755356816282,0.00204498977505112,0.00495000495000495,OAS3/EPSTI1/PSMA2/NUP93/PNPT1/PSMB9/PSMB2/HELZ2/CXCL11/OAS2/RIPK2/AUTS2/STAT1/NMI/TAP1/BATF2/MTHFD2/PSMA3/USP18/IFIH1/PSMB8/EIF2AK2/CFB/TRIM26/CXCL10/LY6E/ISOC1/IFI27/ISG15/IDO1/PSMB10/PSME2/CASP8/CMPK2/CXCL9/IL7/HERC6/ZNFX1/HLA-A/LGALS3BP/TRIM21/PSME1/RBCK1/LAP3/CASP3/IFI30/TOR1B/UBE2L6/ARL4A/ADAR/PLSCR1/MYD88/HLA-B/TRIM14/APOL6/PNP/FCGR1A/CD74/VAMP8/IFIT3/IL2RB/HLA-DQA1/GCH1/IFNAR2/GBP4/PARP12/NCOA3/MX1/IRF8/TAPBP/PTPN6/IFI35/RSAD2/METTL7B/HLA-DRB1/CD86
MITOTIC_SPINDLE,198,1.77535096319732,0.00204498977505112,0.00495000495000495,CEP72/ECT2/KIF20B/FBXO5/ANLN/BRCA2/INCENP/RACGAP1/STAU1/AURKA/KIF15/KIF2C/SMC4/CENPE/TPX2/UXT/CKAP5/PRC1/KIF4A/KIF11/PLK1/KIF3B/CDK1/TOP2A/YWHAE/SHROOM2/BUB1/NUSAP1/KIF23/SASS6/TUBGCP3/CENPF/SMC1A/TTK/BIRC5/PPP4R2/LRPPRC/CCNB2/NDC80/KATNB1/NEK2/TUBA4A/MAPRE1/LMNB1/CEP250/SAC3D1/SMC3/DLGAP5/ACTN4/ESPL1/ABI1/ARFGEF1/GEMIN4/KNTC1/RASA1/KIF22/NF1/CENPJ/CD2AP/CDC42/CDC42EP1
MYC_TARGETS_V1,194,3.65862794627683,0.00205338809034908,0.00495000495000495,CBX3/TFDP1/CCT2/HPRT1/PRDX4/PSMD14/FBL/CLNS1A/MCM6/MCM2/ABCE1/POLD2/NME1/SF3B3/PCNA/CDK4/MCM7/PABPC1/KPNA2/EIF2S2/RRP9/SET/SSBP1/PSMA7/HDGF/SNRPB2/GLO1/MCM4/SNRPG/MAD2L1/RANBP1/ACP1/HDAC2/HSPD1/CSTF2/CCT5/RSL1D1/RFC4/RAN/RUVBL2/EIF1AX/SRPK1/CAD/CCT3/RRM1/PSMA2/NPM1/PPIA/SNRPD1/SSB/PA2G4/CCNA2/HSPE1/DDX18/PSMB2/SNRPD3/PPM1G/XPOT/POLE3/NCBP2/CANX/ILF2/CCT7/NCBP1/SNRPD2/NHP2/VDAC1/GNL3/G3BP1/PSMB3/LSM7/PGK1/EXOSC7/RPS2/NOLC1/VBP1/MRPL9/ODC1/ERH/SERBP1/CCT4/SMARCC1/NOP16/BUB3/MCM5/SYNCRIP/EIF3J/UBA2/USP1/YWHAE/DEK/IMPDH2/DDX21/RPS3/RPS6/PTGES3/RPL18/HNRNPA1/RPL14/RPLP0/LSM2/EIF4E/EEF1B2/AIMP2/HSP90AB1/NOP56/PHB/EIF3D/PRPS2/HNRNPU/EIF3B/CDC45/PSMC4/HNRNPC/C1QBP/RAD23B/MRPS18B/GOT2/RPL6/LDHA/ORC2/STARD7/RPS10/KPNB1/CDC20/GSPT1/RPS5/TCP1/PSMD7/MYC/HNRNPR/PSMD1/TRIM28/APEX1/XPO1/FAM120A/SF3A1/HDDC2/TUFM/PSMA6/PSMA4/PSMD3/SRM/TYMS/RNPS1/PWP1/SNRPA1/PSMD8/SNRPA/XRCC6/YWHAQ
ALLOGRAFT_REJECTION,192,1.74997627625574,0.00205761316872428,0.00495000495000495,BRCA1/C2/MRPL3/ABCE1/NME1/RPL39/EREG/CDKN2A/NPM1/MMP9/INHBA/F2R/CAPG/UBE2N/RPS19/RIPK2/EIF3J/GZMB/STAT1/TAP1/EIF5A/TRAF2/LYN/IL11/EIF3D/IL27RA/RPS9/PRKCG/UBE2D1/LY75/IFNGR2/GCNT1/MTIF2/ICOSLG/PSMB10/TIMP1/PF4/CCL22/IL2RG/CD80/CXCL9/TAP2/ABI1/IL7/CD47/HLA-A/RPS3A/TPD52/CXCR3/ELF4/NOS2/IL1B/PRF1/CD8B/CSK/GLMN/CCR5/LCK/HLA-DRA/GALNT1/EIF3A/INHBB/IGSF6/F2/CD74/IL2RB/HLA-DQA1/IFNAR2/IL12B/IRF8/RPL9/BCL10/TAPBP/PTPN6/IFNG/CTSS/CCL4/CD86/CCR1/LTB/SIT1/THY1/IL2RA/IFNGR1/CD2/HLA-DOA/FASLG/IL12RB1/HLA-G/CD4/CCND3/CCL5/CD3D/CD3G/ITGB2
ESTROGEN_RESPONSE_LATE,196,1.49878729528632,0.00206185567010309,0.00495000495000495,SULT2B1/TRIM29/ANXA9/KLK10/PERP/DHRS2/SORD/RNASEH2A/HPRT1/CCND1/NMU/PLAC1/KLK11/SLC1A4/ABHD2/TMPRSS3/CDC6/TH/SNX10/GLA/LAMC2/CLIC3/TSTA3/SCARB1/MEST/NXT1/GINS2/SLC7A5/PLK4/TOP2A/AREG/DHCR7/KIF20A/MDK/ASS1/BATF/FKBP4/CDC20/RBBP8/ALDH3B1/GJB3/STIL/TFF1/PRLR/SERPINA1/TOB1/MICB/PPIF/TSPAN13/CD9/ADD3/CD44/LSR/XBP1/GALE/AMFR/DUSP2/MYB/CALCR/DYNLT3/ETFB/FDFT1/IDH2/DNAJC12/CDH1/MAPK13/CHPT1/PTGES/DCXR/CXCL14/FRK/PKP3/SLC16A1/CYP4F11
GLYCOLYSIS,197,2.32055397887609,0.00206185567010309,0.00495000495000495,MET/TGFBI/HS6ST2/PAXIP1/HS2ST1/CHPF/POLR3K/STMN1/EFNA3/NANP/KDELR3/FUT8/RPE/GNPDA1/CHST4/PPIA/AURKA/CLN6/NSDHL/TSTA3/KIF2A/PGK1/ALG1/PKM/SRD5A3/AGRN/CDK1/GLCE/SOX9/TALDO1/G6PD/CENPA/MIF/KIF20A/GALK1/HMMR/ENO1/TXN/PSMC4/COPB2/B3GALT6/GALK2/GOT2/MDH2/EXT2/FKBP4/LDHA/TPI1/PMM2/GFPT1/ALDOB/SLC16A3/PDK3/CHPF2/IL13RA1/P4HA1/HOMER1/ALDH7A1/DEPDC1/B4GALT7/PRPS1/RBCK1/CLDN9/AKR1A1/IER3/HDLBP/ME1/PGLS/STC2/P4HA2/GUSB/B4GALT1/CD44/CASP6/NT5E/SLC25A13/HSPA5/GALE/PLOD1/SLC25A10/PYGB/BIK/ECD/VCAN/SDC1/IDH1/ALDH9A1/SDHC/CTH/B3GNT3/ADORA2B/HAX1/QSOX1/PGM2/BPNT1/SOD1/PKP2/COG2/ALDOA/XYLT2/VEGFA/PLOD2/IRS2
P53_PATHWAY,193,1.73334164718593,0.0020703933747412,0.00495000495000495,TRIB3/PERP/GLS2/KLK8/RB1/PCNA/SERPINB5/EI24/CDKN2A/IRAK1/TRIAP1/TP53/NUDT15/MAPKAPK3/F2R/RPL36/SLC3A2/KRT17/TPRKB/PVT1/SLC7A11/IL1A/TAP1/RPL18/SEC61A1/CD82/RHBDF2/GM2A/JAG2/RAP2B/PROCR/EPHA2/BAX/APP/RPS12/ITGB4/AEN/WWP1/TNFSF9/TM4SF1/TOB1/IER3/FDXR/S100A10/DNTTIP2/GPX2/IFI30/NOL8/CCNK/TM7SF3/LDHB/APAF1/ACVR1B/CYFIP2/ZNF365/POLH/CDK5R1/INHBB/STEAP3/POM121/SDC1/TNNI1/VAMP8/DCXR/CDKN2AIP/ABAT/BLCAP/CEBPA/DEF6/HINT1/ERCC5/TAX1BP3/TSC22D1/TRAF4/CTSD/CCNG1/ST14
E2F_TARGETS,195,3.65840159289608,0.00207900207900208,0.00495000495000495,RFC3/CSE1L/ATAD2/DSCC1/PRIM2/CHEK1/PAICS/LYAR/BRCA1/RNASEH2A/PRDX4/TRIP13/RPA3/MCM3/CKS1B/MCM6/MMS22L/BRCA2/MCM2/SUV39H1/POLD2/STMN1/NME1/MSH2/SNRPB/NCAPD2/PCNA/CDK4/MCM7/KPNA2/TIPIN/PRKDC/UBE2T/MCM4/GINS1/MAD2L1/TMPO/RANBP1/CDKN2A/DCLRE1B/RACGAP1/HMGA1/GINS4/RAN/POP7/UBE2S/DIAPH3/CDKN3/RAD51AP1/AURKA/PA2G4/RFC2/TACC3/TIMELESS/TP53/KIF2C/CCNE1/SMC4/CENPE/SPC24/CKS2/PTTG1/MYBL2/NOLC1/SLBP/HELLS/CHEK2/TCF19/KIF4A/DCK/ZW10/PLK1/CDK1/CDC25A/PLK4/NUDT21/MCM5/TOP2A/CDCA3/SSRP1/SYNCRIP/HMGB2/TBRG4/POLA2/USP1/PMS2/NUP205/NUP107/ORC6/UNG/DEK/ASF1A/DNMT1/HMGB3/LIG1/SMC1A/MTHFD2/MELK/BIRC5/TK1/SPC25/NOP56/EXOSC8/CCNB2/PHF5A/HMMR/DCTPP1/LMNB1/ANP32E/RPA2/CDCA8/SPAG5/RRM2/ASF1B/CDC25B/POLD1/BUB1B/ORC2/BARD1/SMC3/TUBG1/CDC20/HUS1/GSPT1/DDX39A/CTCF/MKI67/RAD21/MYC/DLGAP5/EZH2/ESPL1/CBX5/IPO7/XPO1/TFRC/RAD1/DEPDC1/AURKB/PRPS1/SMC6/PPP1R8/TUBB
