"source_genesymbol","target_genesymbol","interact"
"PPID","SLC25A4",0
"CAV1","RHOA",0
"RHOA","HSPA1A",0
"ANLN","RHOA",0
"MAP3K1","RHOA",0
"SMURF2","RHOA",0
"SPRED2","RHOA",0
"RHOA","KCNA2",0
"MPRIP","RHOA",0
"SH3GLB2","RHOA",0
"RHOA","DGKQ",0
"TRIM65","RHOA",0
"GRIN2B","PTPN11",0
"GRIN2B","PIK3CA",0
"DLG2","GRIN2B",0
"GRIN2B","PTPN5",0
"DLG3","GRIN2B",0
"MIB2","GRIN2B",0
"CAMK2N1","GRIN2B",0
"TRPV4","AQP5",0
"ATP2A2","BCL2",0
"TRPC4","SLC9A3R2",0
"SLC9A3R2","ACTN4",0
"SLC9A3R2","PODXL",0
"CANX","NPHS1",0
"CAV1","RAC1",0
"CAV1","ACTB",0
"TXNRD1","CAV1",0
"CAV1","CTNNB1",0
"CAV1","NOS2",0
"SMAD4","CAV1",0
"CAV1","ESR1",0
"CAV1","IGFBP3",0
"MCL1","CAV1",0
"CAV1","ABCB1",0
"CAV1","F2R",0
"CAV1","SCP2",0
"CAV1","FLOT1",0
"CAV1","NCF1",0
"CAV1","KCNA5",0
"CAV1","NPC1",0
"CAV1","TEK",0
"CAV1","CAV2",0
"CAV1","FASN",0
"CAV1","PLD2",0
"CAV1","EDNRB",0
"CAV1","HTR1F",0
"CAV1","S1PR1",0
"LRP1","CAV1",0
"PTGIS","CAV1",0
"MALL","CAV1",0
"SNF8","STAU1",0
"SNF8","ELL",0
"CAMLG","PKHD1",0
"CASR","FLNA",0
"CASR","STAMBP",0
"TMED2","CASR",0
"PI4K2B","CASR",0
"TRPC4","VASP",0
"TRPC6","SNAPIN",0
"PACSIN3","ADAM12",0
"TPCN1","TPCN2",0
"PTPN1","FGFR1",0
"GLRX","PTPN1",0
"PTPN1","SDCBP",0
"RMDN3","PTPN1",0
"UBC","LYN",0
"GJA1","UBC",0
"VCP","UBC",0
"HDAC6","UBC",0
"FAF1","UBC",0
"GRIN1","UBC",0
"TGM2","UBC",0
"UIMC1","UBC",0
"SLC2A1","UBC",0
"RNF168","UBC",0
"SQSTM1","UBC",0
"ARRB2","UBC",0
"USP3","UBC",0
"BMI1","UBC",0
"PRKCA","UBC",0
"CREB1","UBC",0
"RAD18","UBC",0
"USP28","UBC",0
"REV1","UBC",0
"MAPT","UBC",0
"UBC","JUN",0
"NFKBIA","UBC",0
"UBE2V2","UBC",0
"POLI","UBC",0
"UBC","MYC",0
"BCL2L1","UBC",0
"ADRM1","UBC",0
"XIAP","UBC",0
"UBE2D3","UBC",0
"CBL","UBC",0
"NEDD8","UBC",0
"OTUB1","UBC",0
"NBR1","UBC",0
"RIPK1","UBC",0
"LEPR","UBC",0
"RELA","UBC",0
"HIF1A","UBC",0
"TAB2","UBC",0
"UBE2B","UBC",0
"CSF3R","UBC",0
"USP7","UBC",0
"PSMD4","UBC",0
"WRNIP1","UBC",0
"WRN","UBC",0
"UBC","DDX58",0
"RAD23B","UBC",0
"UBC","DCN",0
"TARDBP","UBC",0
"CALCOCO2","UBC",0
"TNIP2","UBC",0
"RBCK1","UBC",0
"UBC","FTH1",0
"NFATC4","UBC",0
"COPB1","UBC",0
"BRAP","UBC",0
"STAM","UBC",0
"UBC","USP2",0
"UBC","HGS",0
"USP4","UBC",0
"PLAA","UBC",0
"SH3KBP1","UBC",0
"PSMD5","UBC",0
"UBC","STAM2",0
"RABGEF1","UBC",0
"RAG1","UBC",0
"UBA1","UBC",0
"OCLN","UBC",0
"NPLOC4","UBC",0
"UFD1","UBC",0
"KLF1","UBC",0
"ZC3H12A","UBC",0
"EPN1","UBC",0
"UBC","UBR5",0
"GCH1","UBC",0
"USP8","UBC",0
"GGA1","UBC",0
"UBE3A","UBC",0
"ATXN3","UBC",0
"UCHL3","UBC",0
"UBE2S","UBC",0
"USP21","UBC",0
"UBC","MOS",0
"USP37","UBC",0
"ZRANB1","UBC",0
"ABCG2","UBC",0
"UBA2","UBC",0
