"Name","Biotype","Oncotype","Degree","log2FC","Initscore","knode","rank"
"A2M","#","#",10,-3.5686965812812,0.0805557848436064,6.52811125261891,478
"AATK","#","#",7,-3.15368310016801,0.0480065557268074,5.0588279216958,579
"ABCA4","#","#",3,4.49893154890808,0.0274911168836366,6.96866783267783,378
"ABCC2","#","#",2,2.65017000265383,0.00789045041106674,7.09392397250415,231
"ABLIM3","#","#",2,-2.53259455256583,0.00732812016381757,7.09017090014077,243
"ACACB","#","#",1,-2.16108398080694,0.000383361919741919,5.01062454684744,762
"ACKR1","#","#",2,-3.66918338901941,0.0127641042994957,5.02315612060645,620
"ACKR3","#","#",1,2.52323229232688,0.00124938858349466,7.11433152030945,175
"ACTA1","#","#",16,-5.01784190805299,0.187206825367546,6.83679906149057,415
"ACTC1","#","#",7,-3.44085955307804,0.0528137499137622,7.11838665584291,162
"ACTG2","#","#",1,-2.80617076853436,0.00192599608600888,-0.0336810034658816,877
"ACTL6A","#","#",1,2.90843049493099,0.00217053581426512,7.12531646436498,145
"ACTN2","#","#",7,-4.16482428270942,0.0649325674720199,7.10015128138876,214
"ACVRL1","#","#",6,-3.34069919898945,0.04314830282593,7.12918066647058,126
"ADAM12","#","#",4,3.06066110933143,0.0244919933556773,7.14878095760309,64
"ADCY10","#","#",2,3.34845889410295,0.0112301694143624,5.01995988731399,636
"ADD2","#","#",1,3.0753852824767,0.00256978466634157,5.01283760621634,716
"ADH1A","#","#",1,-3.44232493029427,0.00344726913579645,5.01372578085192,703
"ADM2","#","#",2,2.44996507682742,0.00693292666477273,-0.0681765575093256,984
"ADRA1A","#","#",4,-5.10964970132455,0.0440914634947894,7.09246443391964,238
"ADRA1B","#","#",3,-3.07920313935447,0.0173058754879191,7.09333931160653,233
"ADRA2B","#","#",3,2.20278047123032,0.0110183514942772,6.82455092410183,417
"ADRB1","#","#",2,-3.41631857195716,0.0115547231319747,7.06674225521312,317
"ADRB2","#","#",10,-2.21445631476038,0.0481710368652888,6.52265877045901,479
"AFF3","#","#",1,-3.36615002917309,0.00326510759208306,5.01354140008128,707
"AGER","#","#",5,-4.75427225054827,0.0520612953333694,6.70215910771814,446
"AGRP","#","#",2,-3.71570758280612,0.0129866164087461,-0.0557948239754804,969
"AGTR1","#","#",4,-3.70234026051262,0.030629934489958,7.13577517026484,99
"AHSP","#","#",1,-5.35883713301816,0.00803033805029836,7.12571255983735,142
"AKAP12","#","#",4,-2.94829021594183,0.023417116717466,7.20148201250004,10
"AKAP4","#","#",1,-3.208755246728,0.0028887201452911,7.15136809974461,52
"ALAS2","#","#",1,-5.5422438462534,0.00846892936474171,5.01880861866741,642
"ALB","#","#",2,-2.16042603187293,0.00554814299934185,-0.0467074756632748,958
"ALDH1A2","#","#",1,-2.35065975513334,0.000836705674622839,5.01108341357193,752
"ALK","Q9UM73","Oncogene",13,2.15250698987074,0.062131857636889,6.99808494052865,365
"ALOX12","#","#",2,2.1781033107635,0.00563268844315505,7.20996038982847,9
"ALOX5","#","#",3,-2.56211121918114,0.0135962180666124,7.07074758296057,308
"ALOX5AP","#","#",2,-2.01526033381139,0.00485385637044147,7.06558226018838,318
"ALX1","#","#",2,5.12877270971997,0.0197449087359446,-0.0285324331041909,845
"ALX4","#","#",2,2.94868609658359,0.00931816877218496,-0.0298238668865043,853
"AMY2A","#","#",2,-6.41540764190062,0.0258985210673543,-0.0250587349877912,829
"ANGPT1","#","#",11,-2.51182716480586,0.0612889225490407,6.05228757160865,557
"ANGPT4","#","#",11,-3.66884882885671,0.0917243198077596,6.07071345420198,552
"ANGPTL1","#","#",2,-3.93325981017278,0.0140271074101681,7.11141780218771,179
"ANKRD1","#","#",3,-5.18667652515126,0.0324250525255467,6.82097286299008,419
"AOC1","#","#",4,3.01304177460209,0.0240364936360989,7.12645542874235,138
"AOC3","#","#",1,-3.91642531931686,0.00458101341991554,-0.0626357027989868,979
"APOA1","#","#",6,-2.18032917391228,0.0264991342465934,5.9665045391708,573
"APOC3","#","#",1,-2.04120928555872,9.66984752584095e-05,-0.0324237734069933,867
"APOH","#","#",6,-2.78284280764039,0.0351440930463701,7.04187274223503,336
"AQP1","#","#",1,-2.93762951949453,0.00224036116764442,5.01250416943644,720
"AQP4","#","#",2,-2.50677054288765,0.00720461120224075,7.10406687542699,197
"ARHGEF17","#","#",1,-2.15401263303591,0.000366451787833038,5.01060743070377,763
"ARRB1","#","#",8,-2.2921480542114,0.0390662270943577,7.09954751861834,217
"ART1","#","#",2,-3.5819643929797,0.0123469604180891,7.07044227997107,311
"ARTN","#","#",1,3.56833232013124,0.00374859805535071,-0.0293130690769465,849
"ASCL1","#","#",4,3.30230839635584,0.0268034551201497,7.17662094077433,18
"ASF1B","#","#",6,3.67078704128885,0.0478844542376891,6.89139746186388,400
"ASPM","#","#",1,4.01587785093631,0.00481884013736915,5.01511406134793,685
"ATAD2","#","#",2,2.17089989248321,0.00559823652330646,7.14988289539911,60
"ATP1B2","#","#",2,-2.32192272898989,0.00632053619495993,-0.0265899181222633,833
"ATRNL1","#","#",2,3.67969994914219,0.0128144020431967,-0.0355012790594209,896
"AURKA","O14965","Oncogene",29,3.75714034020709,0.255770915627144,6.03448460407345,560
"AURKB","#","#",36,3.89863483319437,0.330844727286507,6.04321700788981,559
"AVPR2","#","#",1,-2.11467670902286,0.0002723854676128,5.01051221839792,767
"AZU1","#","#",1,-6.04956710802291,0.00968212146824878,5.02003659077623,635
"BAG4","#","#",1,2.1235842586614,0.000293686617584479,-0.0351591362527526,892
